City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
153,segou,13.4317,-6.2157,299.68,24,95,3.5,ML
154,tuatapere,-46.1333,167.6833,286.04,54,34,3.53,NZ
155,anori,-3.7728,-61.6442,295.65,98,59,0.71,BR
156,fairbanks,64.8378,-147.7164,269.16,90,100,0.0,US
157,bethel,41.3712,-73.414,277.56,82,20,0.0,US
158,gat,31.61,34.7642,288.93,100,9,2.48,IL
159,new norfolk,-42.7826,147.0587,289.22,40,51,1.34,AU
160,mutis,6.2262,-77.4044,297.11,88,40,2.34,CO
161,gorontalo,0.5412,123.0595,303.13,67,88,2.06,ID
162,maragogi,-9.0122,-35.2225,297.06,87,11,3.1,BR
163,tambacounda,13.7539,-13.7586,297.43,45,47,1.64,SN
164,saldanha,-33.0117,17.9442,288.59,84,12,4.24,ZA
165,saskylakh,71.9167,114.0833,251.43,96,100,8.0,RU
166,mikhaylovsk,45.1283,42.0256,266.27,93,100,8.0,RU
167,tateyama,34.9833,139.8667,284.87,87,75,3.6,JP
168,hasaki,35.7333,140.8333,281.6,86,100,8.32,JP
169,smirnykh,49.75,142.8333,264.82,71,64,3.57,RU
170,urumqi,43.801,87.6005,263.68,73,0,1.0,CN
171,fort nelson,58.8053,-122.7002,245.34,83,43,0.45,CA
172,talnakh,69.4865,88.3972,269.38,96,100,3.82,RU
173,severo-kurilsk,50.6789,156.125,269.54,80,86,6.27,RU
174,comodoro rivadavia,-45.8667,-67.5,289.07,36,0,11.83,AR
175,zaraza,9.3503,-65.3245,294.72,87,69,2.93,VE
176,ogulin,45.2661,15.2286,276.82,91,96,1.96,HR
177,taloqan,36.7361,69.5345,274.49,83,100,0.19,AF
178,libreville,0.3925,9.4537,299.2,84,99,1.44,GA
179,sumbe,-11.2061,13.8437,297.55,89,100,0.83,AO
180,marawi,7.9986,124.2928,301.03,58,96,2.14,PH
181,henties bay,-22.116,14.2845,286.68,91,21,3.9,NA
182,gigmoto,13.7796,124.39,301.71,68,97,3.05,PH
183,abu samrah,35.3029,37.1841,283.54,78,12,1.53,SY
184,manhumirim,-20.3578,-41.9581,291.58,98,100,1.82,BR
185,verkhnetulomskiy,68.6073,31.7962,270.22,97,100,1.99,RU
186,camacha,33.0833,-16.3333,289.83,77,20,2.06,PT
187,katsuura,35.1333,140.3,283.16,89,100,7.26,JP
188,sioux lookout,50.1001,-91.917,248.04,97,21,1.08,CA
189,valdivia,-39.8142,-73.2459,284.2,99,99,0.75,CL
190,vasilsursk,56.1275,46.0072,259.32,90,100,2.12,RU
191,hithadhoo,-0.6,73.0833,300.63,73,100,4.44,MV
192,emerald,-23.5333,148.1667,307.23,31,0,1.89,AU
193,satao,40.7418,-7.7329,280.32,95,100,1.78,PT
194,moroni,-11.7022,43.2551,299.68,75,11,1.73,KM
195,sitka,57.0531,-135.33,276.09,87,100,2.06,US
196,marzuq,14.4,46.4667,289.23,55,32,1.63,YE
197,kruisfontein,-34.0033,24.7314,286.42,73,100,2.3,ZA
198,gurupa,-1.405,-51.64,294.93,95,93,1.39,BR
199,iqaluit,63.7506,-68.5145,251.11,98,58,1.22,CA
200,azuaga,38.2667,-5.6833,282.46,93,80,0.78,ES
201,lang son,21.8333,106.7333,289.27,57,29,2.31,VN
202,novyy urengoy,66.0833,76.6333,258.44,92,45,4.84,RU
203,port hardy,50.6996,-127.4199,276.65,84,100,2.01,CA
204,okha,53.5739,142.9478,259.87,87,100,5.32,RU
205,whitefish,48.4111,-114.3376,266.01,90,100,0.0,US
206,susanville,40.4163,-120.653,274.71,95,100,0.45,US
207,lata,40.1629,-8.3327,284.3,92,100,0.82,PT
208,iraucuba,-3.7461,-39.7833,297.56,78,20,3.08,BR
209,seoni,22.0833,79.5333,294.21,44,0,4.05,IN
210,haines junction,60.7522,-137.5108,258.71,98,77,0.94,CA
211,ketchikan,55.3422,-131.6461,276.14,93,100,0.0,US
212,chiang khong,20.2613,100.4046,300.99,59,34,0.55,TH
213,antofagasta,-23.65,-70.4,289.75,81,34,0.43,CL
214,minab,27.1467,57.0801,296.24,49,93,2.0,IR
215,poso,-1.3959,120.7524,302.61,71,99,1.29,ID
216,bambous virieux,-20.3428,57.7575,299.38,73,40,6.69,MU
217,nouadhibou,20.931,-17.0347,291.22,86,41,5.86,MR
218,dabakala,8.3667,-4.4333,297.99,67,77,1.7,CI
219,kango,0.1943,10.0951,296.97,94,98,0.67,GA
220,dikson,73.5069,80.5464,267.13,97,100,5.33,RU
221,kiama,-34.6833,150.8667,293.71,65,47,4.5,AU
222,sandakan,5.8402,118.1179,301.18,77,99,1.23,MY
223,sambava,-14.2667,50.1667,297.6,80,33,4.22,MG
224,tarakan,3.3,117.6333,300.84,73,49,1.24,ID
225,korla,41.7597,86.1469,270.68,35,77,1.22,CN
226,almaznyy,48.0448,40.045,264.56,58,0,4.45,RU
227,jackson,42.4165,-122.8345,279.29,82,91,0.28,US
228,srirampur,22.9489,88.0189,296.62,38,1,3.67,IN
229,zyryanka,65.75,150.85,227.15,97,30,1.67,RU
230,vila velha,-20.3297,-40.2925,296.12,93,20,2.57,BR
231,meulaboh,4.1363,96.1285,299.16,84,98,1.97,ID
232,mongoumba,3.6415,18.5936,294.93,85,72,1.5,CF
233,devonport,-41.1667,146.35,291.53,46,2,5.1,AU
234,shache,38.4167,77.2406,270.77,30,1,0.49,CN
235,kavieng,-2.5744,150.7967,301.98,68,69,1.15,PG
236,kavaratti,10.5669,72.642,301.16,66,63,2.3,IN
237,hambantota,6.1241,81.1185,298.34,100,40,0.51,LK
238,sakakah,29.9697,40.2064,285.49,66,17,2.85,SA
239,bonavista,48.6499,-53.1147,275.57,88,98,4.66,CA
240,leningradskiy,69.3833,178.4167,251.27,88,90,2.47,RU
241,agadez,19.75,10.25,293.08,21,65,4.32,NE
242,ostrovnoy,68.0531,39.5131,270.07,90,100,9.72,RU
243,jinxiang,27.4327,120.6062,286.21,64,46,5.71,CN
244,saint-francois,46.4154,3.9054,269.84,100,100,0.0,FR
245,russell,32.3502,-85.1999,290.91,100,20,0.0,US
246,kuala terengganu,5.3302,103.1408,302.58,87,95,1.62,MY
247,yar-sale,66.8333,70.8333,256.65,97,35,3.59,RU
248,paliambela,40.5114,22.5033,284.19,100,100,0.81,GR
249,ancud,-41.8697,-73.8203,285.07,95,62,1.48,CL
250,touros,-5.1989,-35.4608,298.56,75,0,5.35,BR
251,luderitz,-26.6481,15.1594,287.82,78,54,8.41,NA
252,high level,58.5169,-117.136,244.87,82,8,2.28,CA
253,karratha,-20.7377,116.8463,309.37,28,6,7.33,AU
254,san cristobal,7.7669,-72.225,289.82,98,39,1.55,VE
255,vestmannaeyjar,63.4427,-20.2734,276.7,71,27,2.49,IS
256,bubaque,11.2833,-15.8333,299.31,73,8,3.37,GW
257,quatre cocos,-20.2078,57.7625,299.87,74,50,6.89,MU
258,dukat,62.55,155.55,245.09,97,100,2.06,RU
259,preeceville,51.95,-102.6677,248.81,97,100,2.54,CA
260,kaniama,-7.5667,24.1833,290.3,97,100,0.44,CD
261,nisia floresta,-6.0911,-35.2086,298.6,81,3,3.44,BR
262,suez,29.9737,32.5263,289.23,69,54,2.71,EG
263,saint anthony,45.0205,-93.218,267.4,65,0,3.6,US
264,faya,18.3851,42.4509,281.44,53,0,1.12,SA
265,port macquarie,-31.4333,152.9167,298.09,64,27,7.65,AU
266,turkistan,43.0,68.0,265.52,60,0,1.29,KZ
267,cabadiangan,9.7531,122.4739,303.29,68,67,4.41,PH
268,krasnokamensk,50.0979,118.0369,262.84,84,100,8.6,RU
269,wittstock,53.1612,12.4829,273.7,98,100,2.46,DE
270,victoria point,-27.5833,153.3,311.52,57,0,1.79,AU
271,tilichiki,60.4667,166.1,258.63,93,80,3.82,RU
272,broome,42.2506,-75.833,276.31,64,0,5.14,US
273,mount isa,-20.7333,139.5,311.02,14,0,2.06,AU
274,airai,-8.9266,125.4092,299.89,29,38,1.18,TL
275,alexandria,31.2156,29.9553,292.01,62,100,3.84,EG
276,victoria,22.2855,114.1577,290.55,73,96,4.47,HK
277,khatanga,71.9667,102.5,250.88,90,100,6.25,RU
